global_step,wall_time_s,rollout,env_id,episode,episode_return,episode_length,samples,terminated,timeout,success,termination_reason,file
5000000,0,20,0,0,-1.2,900,180,0,1,0,time_out,
6250000,280,21,0,1,-0.8437793522788155,880,180,0,1,0,time_out,
7500000,560,22,0,2,-0.6036053859761478,860,180,0,1,0,time_out,
8750000,840,23,0,3,-0.4888319987910198,840,180,0,1,0,time_out,
10000000,1120,24,0,4,-0.39352037429618913,820,180,0,1,0,time_out,
11250000,1400,25,0,5,-0.19383864119947058,800,180,0,1,0,time_out,
12500000,1680,26,0,6,0.13808767527016128,780,180,0,1,0,time_out,
13750000,1960,27,0,7,0.5085479898078185,760,180,0,1,0,time_out,
15000000,2240,28,0,8,0.7884037369935074,740,180,1,0,1,success,
16250000,2520,29,0,9,0.9318177727862638,720,180,1,0,1,success,
17500000,2800,30,0,10,1.018396833366595,700,180,1,0,1,success,
18750000,3080,31,0,11,1.1800014690173948,700,180,1,0,1,success,
20000000,3360,32,0,12,1.479514062299935,700,180,1,0,1,success,episodes/env_000/episode_000012.csv
